retirobaixo,tresmarias,queimado,sobradinho,itaparica,pamx,xingo,serradamesa,canabrava,peixeangelical,lajeado,estreito,tucurui,saosalvador
55,191,38,1421,1451,1457,1457,184,192,495,655,1383,3490,210
65,244,35,1128,1110,1111,1111,193,213,490,582,1364,2497,236
106,326,40,1518,1453,1426,1426,250,276,580,684,1502,2837,297
87,327,33,1838,1903,1916,1916,284,322,673,800,1500,3969,354
112,481,53,1798,1642,1599,1599,670,730,1257,1655,2580,5073,755
143,855,119,3601,3603,3573,3573,3206,3513,6004,8899,10825,17774,3863
97,584,61,3660,3898,3941,3941,1437,1545,2795,5189,8965,27623,1804
245,892,68,3495,3455,3397,3397,1475,1563,2635,5116,8015,26688,1756
93,423,47,2708,2976,3071,3071,790,836,1336,2630,5040,24679,947
63,269,37,1364,1416,1436,1436,371,393,624,1134,2638,14823,445
51,192,33,1139,1151,1156,1156,297,312,482,793,1961,7782,340
43,148,29,1015,1031,1036,1036,209,219,356,558,1284,4931,240
37,133,23,906,917,921,921,172,179,288,416,968,3228,194
32,119,19,820,829,832,832,133,141,250,339,858,2291,155
55,220,28,847,823,818,818,228,237,362,450,992,2284,244
95,521,69,1600,1533,1512,1512,527,552,916,1085,1729,3502,585
100,544,53,2711,2636,2625,2625,524,558,898,982,1466,5770,580
242,1202,67,3291,3248,3225,3225,1607,1746,3006,3693,4758,10303,1835
225,1239,62,5729,5775,5701,5701,2593,2783,4512,6168,8503,22024,2994
277,1489,89,6124,8862,9090,9090,2602,2790,5253,8064,12943,28633,3085
108,562,54,6060,7148,7453,7453,1475,1578,2755,4701,8667,26989,1773
87,343,44,2468,2619,2713,2713,650,692,1195,2039,3646,15595,783
70,252,36,1764,1838,1858,1858,444,471,810,1258,2357,8612,514
58,202,30,1388,1415,1423,1423,325,343,602,883,1787,4810,375
59,164,25,1151,1174,1182,1182,244,256,463,643,1400,2934,280
55,188,21,979,998,1004,1004,159,170,330,441,1149,2186,189
62,194,22,902,905,904,904,235,245,395,497,1182,2067,253
84,538,43,1076,1010,996,996,548,569,972,1100,1775,3410,581
239,1270,68,4172,3871,3758,3758,1129,1191,2210,2998,4083,8203,1276
592,2136,99,5755,5587,5530,5530,1518,1640,3128,4693,7012,15344,1812
607,2337,87,7765,7749,7722,7722,1838,2004,3935,5923,9433,23407,2221
414,1774,68,6407,6612,6675,6675,1274,1381,2828,4334,7579,25078,1565
202,761,45,3479,3778,3870,3870,768,823,1415,2112,4553,19787,902
154,590,45,2328,2376,2393,2393,704,751,1327,1820,2993,11752,815
110,372,35,1737,1791,1810,1810,322,342,662,922,1861,6119,391
89,277,30,1389,1414,1424,1424,240,253,489,624,1193,3487,275
74,202,25,1188,1207,1213,1213,208,217,429,521,946,2553,236
62,169,20,993,1015,1023,1023,165,172,364,432,786,1946,192
56,150,20,883,880,881,881,151,175,320,470,801,1621,208
79,315,21,1098,1056,1042,1042,216,250,419,600,1197,2037,281
94,590,50,1680,1539,1493,1493,601,685,987,1304,2245,3165,697
300,1402,70,3616,3440,3364,3364,943,1069,1683,2312,3859,6720,1109
311,1565,95,5406,5385,5374,5374,1152,1303,2276,3323,5782,13121,1397
168,1325,89,4433,4524,4547,4547,1551,1745,2811,3784,6789,16635,1882
98,638,49,3161,3466,3550,3550,645,735,1295,1953,4345,16527,812
